":id",":version",":created_at",":updated_at","crash_date","crash_time","borough","zip_code","latitude","longitude","location","on_street_name","off_street_name","cross_street_name","number_of_persons_injured","number_of_persons_killed","number_of_pedestrians_injured","number_of_pedestrians_killed","number_of_cyclist_injured","number_of_cyclist_killed","number_of_motorist_injured","number_of_motorist_killed","contributing_factor_vehicle_1","contributing_factor_vehicle_2","contributing_factor_vehicle_3","contributing_factor_vehicle_4","contributing_factor_vehicle_5","collision_id","vehicle_type_code1","vehicle_type_code2","vehicle_type_code_3","vehicle_type_code_4","vehicle_type_code_5"
"row-nnpb-ei95.bzv4","rv-heqy~tn22~55ge","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","0:00","BROOKLYN","11222","40.7264440","-73.9523300","( 4 0 . 7 2 6 4 4 4 ,   - 7 3 . 9 5 2 3 3 )",,,"745       MANHATTAN AVENUE              ","0","0","0","0","0","0","0","0","Passing Too Closely","Unspecified",,,,"4406876","AMBULANCE","Van",,,
"row-7dfe.7wkv_924c","rv-d4hk.zs6j~7tqw","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","0:00","BROOKLYN","11231","40.6785240","-74.0021000","( 4 0 . 6 7 8 5 2 4 ,   - 7 4 . 0 0 2 1 )",,,"667       HENRY STREET                  ","0","0","0","0","0","0","0","0","Unspecified",,,,,"4407150","Station Wagon/Sport Utility Vehicle",,,,
"row-i78k.y2wh-r5pc","rv-atan.vant-ctsd","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","0:00","QUEENS","11420","40.6774980","-73.8276000","( 4 0 . 6 7 7 4 9 8 ,   - 7 3 . 8 2 7 6 )","111 STREET                      ","ROCKAWAY BOULEVARD",,"0","0","0","0","0","0","0","0","Other Vehicular","Following Too Closely",,,,"4406940","Bus","Station Wagon/Sport Utility Vehicle",,,
"row-5ka8-47pe.y9rv","rv-6qgu.uve9.ur74","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","0:00",,,,,,"ALEXANDER HAMILTON BRIDGE       ",,,"0","0","0","0","0","0","0","0","Following Too Closely","Unspecified",,,,"4407166","Tractor Truck Gasoline","Tractor Truck Gasoline",,,
"row-7ch6.iikp.qrp8","rv-gws9~i8nn_sa2j","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","0:00",,,"40.8772350","-73.9178100","( 4 0 . 8 7 7 2 3 5 ,   - 7 3 . 9 1 7 8 1 )","JOHNSON AVENUE                  ",,,"0","0","0","0","0","0","0","0","Unspecified",,,,,"4406935","Sedan",,,,
"row-xm5r-u6w7_3pjc","rv-xjbj_dqbb-hf9j","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","0:00",,,"40.9002100","-73.8865000","( 4 0 . 9 0 0 2 1 ,   - 7 3 . 8 8 6 5 )","MOSHOLU PARKWAY                 ",,,"1","0","0","0","0","0","1","0","Unspecified","Unspecified","Unspecified",,,"4407335","Sedan","Sedan","Sedan",,
"row-nvay_f625-3tzg","rv-mfqb~6g7v-x4ne","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","0:07","BRONX","10456","40.8294200","-73.9122600","( 4 0 . 8 2 9 4 2 ,   - 7 3 . 9 1 2 2 6 )","EAST 166 STREET                 ","CLAY AVENUE",,"1","0","0","0","0","0","1","0","Traffic Control Disregarded","Unspecified",,,,"4406764","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle",,,
"row-grkx.pxt9-8cvk","rv-sgzj-h6ix.45bk","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","0:15","QUEENS","11378","40.7274320","-73.9071300","( 4 0 . 7 2 7 4 3 2 ,   - 7 3 . 9 0 7 1 3 )","LONG ISLAND EXPRESSWAY          ","MAURICE AVENUE",,"0","0","0","0","0","0","0","0","Driver Inattention/Distraction","Driver Inattention/Distraction",,,,"4406969","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle",,,
"row-5e9r.tuw7_xz7d","rv-g57s~42a6_yjdr","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","0:45",,,"40.8439560","-73.8978000","( 4 0 . 8 4 3 9 5 6 ,   - 7 3 . 8 9 7 8 )","CROSS BRONX EXPY                ",,,"1","0","0","0","0","0","1","0","Driver Inattention/Distraction","Unspecified",,,,"4406937","Station Wagon/Sport Utility Vehicle","Sedan",,,
"row-enks~qc6r_gtng","rv-6zs4.azni~6m9s","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","10:00","BRONX","10463",,,,"Ft independence street          ","Bailey place",,"0","0","0","0","0","0","0","0","Unspecified",,,,,"4406932","Sedan",,,,
"row-mp33.rkq6~7t7w","rv-ypt2~tp5f-bfa4","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","10:00","BROOKLYN","11207","40.6862260","-73.9124000","( 4 0 . 6 8 6 2 2 6 ,   - 7 3 . 9 1 2 4 )","BUSHWICK AVENUE                 ","COVERT STREET",,"0","0","0","0","0","0","0","0","Driver Inattention/Distraction","Unspecified",,,,"4407056","Sedan","Station Wagon/Sport Utility Vehicle",,,
"row-3ype-xtcs_qqbk","rv-8enu.n9ck_yatw","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","10:00","BROOKLYN","11209","40.6347430","-74.0352900","( 4 0 . 6 3 4 7 4 3 ,   - 7 4 . 0 3 5 2 9 )","NARROWS AVENUE                  ","73 STREET",,"0","0","0","0","0","0","0","0","Driver Inattention/Distraction","Unspecified",,,,"4407022","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle",,,
"row-6e73_bghu~ikbx","rv-8s7w~di5u.m9dr","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","10:00",,,"40.8178200","-73.9152760","( 4 0 . 8 1 7 8 2 ,   - 7 3 . 9 1 5 2 7 6 )","3 AVENUE                        ","EAST 152 STREET",,"0","0","0","0","0","0","0","0","Unspecified",,,,,"4406899","Sedan",,,,
"row-4ia6~hyve~fjiv","rv-qucr-6cp7_7sfr","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","10:00","BROOKLYN","11203","40.6423840","-73.9253900","( 4 0 . 6 4 2 3 8 4 ,   - 7 3 . 9 2 5 3 9 )","AVENUE D                        ","KINGS HIGHWAY",,"1","0","0","0","0","0","1","0","Turning Improperly","Unspecified",,,,"4406931","Sedan","Sedan",,,
"row-eam8.a6z8_cjpu","rv-vgz7~u4du~bsmj","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","10:04","BROOKLYN","11236","40.6538960","-73.9014200","( 4 0 . 6 5 3 8 9 6 ,   - 7 3 . 9 0 1 4 2 )",,,"10502     AVENUE D                      ","0","0","0","0","0","0","0","0","Turning Improperly","Unspecified",,,,"4407404","Station Wagon/Sport Utility Vehicle","Sedan",,,
"row-xc2t~46jy-ras9","rv-txuq-9mzv.pbx3","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","10:15","BROOKLYN","11231","40.6837200","-74.0033400","( 4 0 . 6 8 3 7 2 ,   - 7 4 . 0 0 3 3 4 )","COLUMBIA STREET                 ","PRESIDENT STREET",,"1","0","0","0","0","0","1","0","Reaction to Uninvolved Vehicle","Unspecified",,,,"4407666","Sedan","Pick-up Truck",,,
"row-fkyr-p7yc.73p8","rv-yiuv~jje3_gscq","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","10:20","BRONX","10459","40.8231770","-73.8899600","( 4 0 . 8 2 3 1 7 7 ,   - 7 3 . 8 8 9 9 6 )",,,"979       ALDUS STREET                  ","0","0","0","0","0","0","0","0","Unspecified",,,,,"4407108","Sedan","Box Truck",,,
"row-bfjt-wz4p_73pk","rv-v2bg-5wyy.88uy","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","10:21","BRONX","10461","40.8453800","-73.8409000","( 4 0 . 8 4 5 3 8 ,   - 7 3 . 8 4 0 9 )",,,"1500      WATERS PLACE                  ","0","0","0","0","0","0","0","0","Unspecified",,,,,"4406904","Ambulance",,,,
"row-86vq~2s2p_rcxt","rv-sd29.kik3_8dbe","2021-04-19T13:00:42.446Z","2021-04-19T13:01:20.786Z","2021-04-13T00:00:00.000","10:30","BROOKLYN","11223","40.6021200","-73.9695800","( 4 0 . 6 0 2 1 2 ,   - 7 3 . 9 6 9 5 8 )","AVENUE S                        ","EAST 3 STREET",,"0","0","0","0","0","0","0","0","Unspecified",,,,,"4407098","Pick-up Truck",,,,
